Waypoints
Date,Name,Latitude,Longitude,Altitude (m),Notes
2026-06-30T16:53:34Z,Start,33.73114, -117.93742,6.6,"",""
2026-06-30T16:57:52Z,End,33.70176, -117.93864,-1.1,"",""
Date(GMT),Date(Local),Time(sec),Latitude,Longitude,Horizontal Accuracy(m),Altitude(m),Vertical Accuracy(m),Distance(m),Speed(m/s),Average Speed(m/s),Course(deg),True Heading(deg),Magnetic Heading(deg),Heading Accuracy(deg),Glide Ratio,Heart Rate (bpm)
2026-06-30T16:53:34Z,2026-06-30T09:53:34Z,0.0,33.73114, -117.93742,5.0,6.6,9.5,0.0,0.0,0.0,178.8,201.96934509277344,190.71847534179688,82.23719787597656,0.0016171969083296099,0.0
2026-06-30T16:53:36Z,2026-06-30T09:53:36Z,1.0277609825134277,33.73114, -117.93742,5.0,6.6,9.5,0.0,0.0,0.0,178.8,201.96934509277344,190.71847534179688,82.23719787597656,0.0022622880973641006,0.0
2026-06-30T16:53:59Z,2026-06-30T09:53:59Z,24.031768918037415,33.73098, -117.93742,5.0,6.5,9.5,18.503379032384796,9.723,0.0,180.0,201.50762939453125,190.2567596435547,81.5740737915039,-377.9231679004355,0.0
2026-06-30T16:54:00Z,2026-06-30T09:54:00Z,25.029485940933228,33.73086, -117.93742,5.0,7.0,9.5,31.7304265192302,12.758222222222223,0.0,179.6,201.50762939453125,190.2567596435547,81.5740737915039,-384.1883618135273,0.0
2026-06-30T16:54:01Z,2026-06-30T09:54:01Z,25.528546929359436,33.73071, -117.93742,5.0,7.1,9.5,48.36127533257153,16.205000000000002,12.768114461276406,179.3,201.50762939453125,190.2567596435547,81.5740737915039,1551.0409978427651,0.0
2026-06-30T16:54:03Z,2026-06-30T09:54:03Z,27.528743982315063,33.73053, -117.93738,5.0,6.9,9.5,67.97573432757677,18.931555555555555,16.14417873097389,180.0,201.50762939453125,190.2567596435547,81.5740737915039,254.86654184482722,0.0
2026-06-30T16:54:04Z,2026-06-30T09:54:04Z,29.03216791152954,33.73014, -117.93736,5.0,6.9,9.5,111.44711629791733,22.275444444444442,16.14417873097389,176.96701049804688,201.50762939453125,190.2567596435547,81.5740737915039,278.5834603871029,0.0
2026-06-30T16:54:05Z,2026-06-30T09:54:05Z,30.03084099292755,33.72993, -117.93735,5.0,6.6,9.5,134.70788400270516,23.04711111111111,25.39057007180843,177.90188598632812,201.50762939453125,190.2567596435547,81.5740737915039,367.339261893021,0.0
2026-06-30T16:54:06Z,2026-06-30T09:54:06Z,31.030838012695312,33.72971, -117.93734,5.0,6.5,9.5,159.1752830214851,24.127444444444446,25.39057007180843,179.37359619140625,201.50762939453125,190.2567596435547,81.5740737915039,795.7923085644348,0.0
2026-06-30T16:54:07Z,2026-06-30T09:54:07Z,32.029791951179504,33.72949, -117.93734,5.0,6.8,9.5,184.24539763018583,24.84766666666667,23.982442032539574,179.37359619140625,201.50762939453125,190.2567596435547,81.5740737915039,2763.405476141619,0.0
2026-06-30T16:54:08Z,2026-06-30T09:54:08Z,33.03221297264099,33.72926, -117.93736,5.0,6.7,9.5,209.73485794162644,25.259222222222228,23.982442032539574,180.0,201.50762939453125,190.2567596435547,81.5740737915039,6291.448424183126,0.0
2026-06-30T16:54:09Z,2026-06-30T09:54:09Z,33.53170990943909,33.72902, -117.93734,5.0,6.4,9.5,235.61863332416416,25.67077777777778,25.184777149736608,179.34246826171875,201.50762939453125,190.2567596435547,81.5740737915039,3533.9531134137073,0.0
2026-06-30T16:54:10Z,2026-06-30T09:54:10Z,35.03215992450714,33.72879, -117.93733,5.0,6.1,9.5,261.7639798487194,25.876555555555555,25.184777149736608,179.48477172851562,201.50762939453125,190.2567596435547,81.5740737915039,7852.194353257052,0.0
2026-06-30T16:54:11Z,2026-06-30T09:54:11Z,36.02868592739105,33.72855, -117.93732,5.0,5.7,9.5,287.8985279846348,25.928,25.134075815791036,179.48477172851562,201.50762939453125,190.2567596435547,81.5740737915039,-1439.3597546821984,0.0
2026-06-30T16:54:12Z,2026-06-30T09:54:12Z,37.02867293357849,33.72832, -117.93731,5.0,5.9,9.5,314.0046500900814,25.928,25.134075815791036,179.48477172851562,201.50762939453125,190.2567596435547,81.5740737915039,-588.7059908633298,0.0
2026-06-30T16:54:13Z,2026-06-30T09:54:13Z,38.02964198589325,33.72808, -117.93731,5.0,6.2,9.5,340.12626005443155,25.876555555555555,26.080442258838374,179.48477172851562,201.50762939453125,190.2567596435547,81.5740737915039,-482.4064684648145,0.0
2026-06-30T16:54:14Z,2026-06-30T09:54:14Z,39.031898975372314,33.72785, -117.93731,5.0,6.1,9.5,365.8747999785341,25.825111111111116,26.080442258838374,179.49830627441406,201.50762939453125,190.2567596435547,81.5740737915039,-535.8398341640452,0.0
2026-06-30T16:54:15Z,2026-06-30T09:54:15Z,40.0315979719162,33.72762, -117.93731,5.0,6.5,9.5,391.58459801785017,25.773666666666667,24.6893520014081,179.49830627441406,201.50762939453125,190.2567596435547,81.5740737915039,-799.4597549688542,0.0
